# Along-track daily velocities, metres per year," at lev 5 (""Site 6"") during 2022.",,
# Approx. rover station coordinates (WGS84): 67.1531,-48.3715, 1439 m.,,
# Collection strategy: Leica GPS1200, mounted on metal pole frozen into ice, collecting data at 10-second resolution.,,
# Post-processing strategy: kinematic post-processing relative to off-ice base station at Russell Glacier using TRACK in GAMIT/GLOBK, processed in 24-hour blocks, with IGS Final/Restituted orbits and IONEX ionsphere maps.,,
# Post-processing workflow: https://github.com/atedstone/gnssice,,,,
# Collection personnel: Andrew Tedstone, Horst Machguth, Nicole Clerx, Nicolas Jullien, Hannah Picton.
# Post-processing personnel: Andrew Tedstone (andrew.tedstone@unifr.ch).,,,,
# Data owner: University of Fribourg, Switzerland.,,,
"# Funding: Swiss Polar Institute (""HI-SLIDE"")", European Research Council (award 818994).,,,
01/09/2022,92.67,,,
02/09/2022,94.39,,,
03/09/2022,92.19,,,
04/09/2022,103.22,,,
05/09/2022,180.07,,,
06/09/2022,179.5,,,
07/09/2022,173.53,,,
08/09/2022,169.96,,,
09/09/2022,147.2,,,
10/09/2022,138.39,,,
11/09/2022,127.32,,,
12/09/2022,115.69,,,
13/09/2022,109.38,,,
14/09/2022,109.38,,,
15/09/2022,109.38,,,
16/09/2022,101.79,,,
17/09/2022,100.84,,,
18/09/2022,93.72,,,
19/09/2022,91.84,,,
20/09/2022,92.04,,,
21/09/2022,90.52,,,
22/09/2022,97.65,,,
23/09/2022,98.55,,,
24/09/2022,88.74,,,
25/09/2022,80.83,,,
26/09/2022,91.34,,,
27/09/2022,91.34,,,
28/09/2022,85.28,,,
29/09/2022,89.14,,,
30/09/2022,93.17,,,
01/10/2022,93.73,,,
02/10/2022,90.67,,,
03/10/2022,83.1,,,
04/10/2022,95.98,,,
05/10/2022,84.8,,,
06/10/2022,94.48,,,
07/10/2022,81.22,,,
08/10/2022,93.33,,,
09/10/2022,31.18,,,
10/10/2022,-59.53,,,
11/10/2022,275.43,,,
12/10/2022,161.15,,,
13/10/2022,67.82,,,
14/10/2022,94.07,,,
15/10/2022,91.44,,,
16/10/2022,92.28,,,
17/10/2022,89.43,,,
18/10/2022,91.49,,,
19/10/2022,83.26,,,
20/10/2022,79.67,,,
21/10/2022,79.67,,,
22/10/2022,79.67,,,
23/10/2022,79.67,,,
24/10/2022,79.67,,,
25/10/2022,79.67,,,
26/10/2022,79.67,,,
27/10/2022,79.67,,,
28/10/2022,79.67,,,
29/10/2022,79.67,,,
30/10/2022,79.67,,,
31/10/2022,79.67,,,
01/11/2022,79.67,,,
02/11/2022,79.67,,,
03/11/2022,79.67,,,
04/11/2022,280.56,,,
05/11/2022,112.4,,,
06/11/2022,116.51,,,
07/11/2022,116.51,,,
08/11/2022,116.51,,,
09/11/2022,105.95,,,
10/11/2022,87,,,
11/11/2022,91.9,,,
12/11/2022,96.12,,,
13/11/2022,96.12,,,
14/11/2022,96.12,,,
15/11/2022,96.12,,,
16/11/2022,96.12,,,
17/11/2022,96.12,,,
18/11/2022,96.12,,,
19/11/2022,96.12,,,
20/11/2022,96.12,,,
21/11/2022,96.12,,,
22/11/2022,96.12,,,
23/11/2022,96.12,,,
24/11/2022,96.12,,,
25/11/2022,96.12,,,
26/11/2022,96.12,,,
27/11/2022,96.12,,,
28/11/2022,96.12,,,
29/11/2022,96.12,,,
30/11/2022,96.12,,,
01/12/2022,96.12,,,
02/12/2022,96.12,,,
03/12/2022,96.12,,,
04/12/2022,96.12,,,
05/12/2022,96.12,,,
06/12/2022,96.12,,,
07/12/2022,96.12,,,
08/12/2022,96.12,,,
09/12/2022,96.12,,,
10/12/2022,96.12,,,
11/12/2022,96.12,,,
12/12/2022,96.12,,,
13/12/2022,96.12,,,
14/12/2022,96.12,,,
15/12/2022,96.12,,,
16/12/2022,96.12,,,
17/12/2022,96.12,,,
18/12/2022,96.12,,,
19/12/2022,96.12,,,
20/12/2022,96.12,,,
21/12/2022,96.12,,,
22/12/2022,96.12,,,
23/12/2022,96.12,,,
24/12/2022,96.12,,,
25/12/2022,96.12,,,
26/12/2022,96.12,,,
27/12/2022,96.12,,,
28/12/2022,96.12,,,
29/12/2022,96.12,,,
30/12/2022,96.12,,,
31/12/2022,96.12,,,
01/01/2023,96.12,,,
02/01/2023,96.12,,,
03/01/2023,96.12,,,
04/01/2023,96.12,,,
05/01/2023,96.12,,,
06/01/2023,96.12,,,
07/01/2023,96.12,,,
08/01/2023,96.12,,,
09/01/2023,96.12,,,
10/01/2023,96.12,,,
11/01/2023,96.12,,,
12/01/2023,96.12,,,
13/01/2023,96.12,,,
14/01/2023,96.12,,,
15/01/2023,96.12,,,
16/01/2023,96.12,,,
17/01/2023,96.12,,,
18/01/2023,96.12,,,
19/01/2023,96.12,,,
20/01/2023,96.12,,,
21/01/2023,96.12,,,
22/01/2023,96.12,,,
23/01/2023,96.12,,,
24/01/2023,96.12,,,
25/01/2023,96.12,,,
26/01/2023,96.12,,,
27/01/2023,96.12,,,
28/01/2023,96.12,,,
29/01/2023,96.12,,,
30/01/2023,96.12,,,
31/01/2023,96.12,,,
01/02/2023,96.12,,,
02/02/2023,96.12,,,
03/02/2023,96.12,,,
04/02/2023,96.12,,,
05/02/2023,96.12,,,
06/02/2023,96.12,,,
07/02/2023,96.12,,,
08/02/2023,96.12,,,
09/02/2023,96.12,,,
10/02/2023,96.12,,,
11/02/2023,96.12,,,
12/02/2023,96.12,,,
13/02/2023,96.12,,,
14/02/2023,96.12,,,
15/02/2023,96.12,,,
16/02/2023,96.12,,,
17/02/2023,96.12,,,
18/02/2023,96.12,,,
19/02/2023,96.12,,,
20/02/2023,96.12,,,
21/02/2023,96.12,,,
22/02/2023,96.12,,,
23/02/2023,96.12,,,
24/02/2023,96.12,,,
25/02/2023,96.12,,,
26/02/2023,96.12,,,
27/02/2023,96.12,,,
28/02/2023,96.12,,,
01/03/2023,96.12,,,
02/03/2023,96.12,,,
03/03/2023,96.12,,,
04/03/2023,96.12,,,
05/03/2023,96.12,,,
06/03/2023,96.12,,,
07/03/2023,96.12,,,
08/03/2023,96.12,,,
09/03/2023,96.12,,,
10/03/2023,96.12,,,
11/03/2023,96.12,,,
12/03/2023,96.12,,,
13/03/2023,96.12,,,
14/03/2023,96.12,,,
15/03/2023,96.12,,,
16/03/2023,96.12,,,
17/03/2023,96.12,,,
18/03/2023,96.12,,,
19/03/2023,96.12,,,
20/03/2023,96.12,,,
21/03/2023,96.12,,,
22/03/2023,96.12,,,
23/03/2023,96.12,,,
24/03/2023,96.12,,,
25/03/2023,96.12,,,
26/03/2023,96.12,,,
27/03/2023,96.12,,,
28/03/2023,96.12,,,
29/03/2023,96.12,,,
30/03/2023,96.12,,,
31/03/2023,96.12,,,
01/04/2023,96.12,,,
02/04/2023,96.12,,,
03/04/2023,96.12,,,
04/04/2023,96.12,,,
05/04/2023,96.12,,,
06/04/2023,96.12,,,
07/04/2023,96.12,,,
08/04/2023,96.12,,,
09/04/2023,96.12,,,
10/04/2023,96.12,,,
11/04/2023,96.12,,,
12/04/2023,96.12,,,
13/04/2023,96.12,,,
14/04/2023,96.12,,,
15/04/2023,96.12,,,
16/04/2023,96.12,,,
17/04/2023,96.12,,,
18/04/2023,96.12,,,
19/04/2023,96.12,,,
20/04/2023,96.12,,,
21/04/2023,96.12,,,
22/04/2023,96.12,,,
23/04/2023,96.12,,,
24/04/2023,96.12,,,
25/04/2023,96.12,,,
26/04/2023,96.12,,,
27/04/2023,96.12,,,
28/04/2023,96.12,,,
29/04/2023,96.12,,,
30/04/2023,96.12,,,
01/05/2023,96.12,,,
